fund_family,fund_name,share_class,isin,num_countries,authorized_countries_list
FRENCH FUNDS,ODDO BHF Active Small Cap,CR-EUR,FR0011606268,10,"Germany, Austria, Spain, Italy, Luxembourg, The Netherlands, Sweden, Switzerland, Finland, Denmark"
FRENCH FUNDS,ODDO BHF Active Small Cap,CI-EUR,FR0011606276,10,"Germany, Austria, Spain, Italy, Luxembourg, The Netherlands, Sweden, Switzerland, Finland, Denmark"
FRENCH FUNDS,ODDO BHF Active Small Cap,CN-EUR,FR0013106739,10,"Germany, Austria, Spain, Italy, Luxembourg, The Netherlands, Sweden, Switzerland, Finland, Denmark"
FRENCH FUNDS,ODDO BHF Active Small Cap,GC-EUR,FR0011606284,10,"Germany, Austria, Spain, Italy, Luxembourg, The Netherlands, Sweden, Switzerland, Finland, Denmark"
FRENCH FUNDS,ODDO BHF Active Micro Cap,CI-EUR,FR0013266269,4,"Germany, Italy, Sweden, Switzerland"
FRENCH FUNDS,ODDO BHF Active Micro Cap,CR-EUR,FR0013266244,4,"Germany, Italy, Sweden, Switzerland"
FRENCH FUNDS,ODDO BHF Active Micro Cap,CN-EUR,FR0013266277,4,"Germany, Italy, Sweden, Switzerland"
FRENCH FUNDS,ODDO BHF Active Micro Cap,GC-EUR,FR0013266293,3,"Germany, Italy, Switzerland"
FRENCH FUNDS,ODDO BHF Active Micro Cap,CR-EUR,FR0000989899,5,"Germany, Austria, Spain, Italy, Switzerland"
FRENCH FUNDS,ODDO BHF Active Micro Cap,DR-EUR,FR0000989907,5,"Germany, Austria, Spain, Italy, Switzerland"
FRENCH FUNDS,ODDO BHF Active Micro Cap,GC-EUR,FR0011603877,5,"Germany, Austria, Spain, Italy, Switzerland"
FRENCH FUNDS,ODDO BHF Active Micro Cap,CN-EUR,FR0012806578,5,"Germany, Austria, Spain, Italy, Switzerland"
FRENCH FUNDS,ODDO BHF Active Micro Cap,DN-EUR,FR0013302429,5,"Germany, Austria, Spain, Italy, Switzerland"
FRENCH FUNDS,ODDO BHF Avenir Euro,CR-EUR,FR0000990095,7,"Germany, Austria, Spain, Italy, The Netherlands, Singapore, Switzerland"
FRENCH FUNDS,ODDO BHF Avenir Euro,CI-EUR,FR0010247783,7,"Germany, Austria, Spain, Italy, The Netherlands, Singapore, Switzerland"
FRENCH FUNDS,ODDO BHF Avenir Euro,CP-EUR,FR0011571371,7,"Germany, Austria, Spain, Italy, The Netherlands, Singapore, Switzerland"
FRENCH FUNDS,ODDO BHF Avenir Euro,GC-EUR,FR0011572486,7,"Germany, Austria, Spain, Italy, The Netherlands, Singapore, Switzerland"
FRENCH FUNDS,ODDO BHF Avenir Euro,CN-EUR,FR0013274354,7,"Germany, Austria, Spain, Italy, The Netherlands, Singapore, Switzerland"
FRENCH FUNDS,ODDO BHF Avenir Euro,DI-EUR,FR0013498573,7,"Germany, Austria, Spain, Italy, The Netherlands, Singapore, Switzerland"
FRENCH FUNDS,ODDO BHF Avenir Europe,CR-EUR,FR0000974149,11,"Germany, Austria, Belgium, Spain, Italy, Luxembourg, The Netherlands, Portugal, Singapore, Sweden, Switzerland"
FRENCH FUNDS,ODDO BHF Avenir Europe,CI-EUR,FR0010251108,11,"Germany, Austria, Belgium, Spain, Italy, Luxembourg, The Netherlands, Portugal, Singapore, Sweden, Switzerland"
FRENCH FUNDS,ODDO BHF Avenir Europe,CN-EUR,FR0011036920,11,"Germany, Austria, Belgium, Spain, Italy, Luxembourg, The Netherlands, Portugal, Singapore, Sweden, Switzerland"
FRENCH FUNDS,ODDO BHF Avenir Europe,DR-EUR,FR0011380070,10,"Germany, Austria, Belgium, Spain, Italy, The Netherlands, Portugal, Singapore, Sweden, Switzerland"
FRENCH FUNDS,ODDO BHF Avenir Europe,GC-EUR,FR0011603901,9,"Germany, Austria, Spain, Italy, The Netherlands, Portugal, Singapore, Sweden, Switzerland"
FRENCH FUNDS,ODDO BHF Avenir Europe,CR-USD [H],FR0012224640,9,"Germany, Austria, Spain, Italy, The Netherlands, Portugal, Singapore, Sweden, Switzerland"
FRENCH FUNDS,ODDO BHF Avenir Europe,DI-EUR,FR0013312071,9,"Germany, Austria, Spain, Italy, The Netherlands, Portugal, Singapore, Sweden, Switzerland"
FRENCH FUNDS,ODDO BHF Avenir Europe,CN-CHF [H],FR0013335791,8,"Germany, Austria, Spain, Italy, The Netherlands, Portugal, Sweden, Switzerland"
FRENCH FUNDS,ODDO BHF China Equity Stars,CR-EUR,FR001400USF8,1,Germany
FRENCH FUNDS,ODDO BHF China Equity Stars,CI-EUR,FR001400USJ0,1,Germany
FRENCH FUNDS,ODDO BHF China Equity Stars,CRw-EUR,FR001400USH4,1,Germany
FRENCH FUNDS,ODDO BHF China Equity Stars,CN-EUR,FR001400USI2,1,Germany
FRENCH FUNDS,ODDO BHF China Equity Stars,GC-EUR,FR001400USG6,1,Germany
FRENCH FUNDS,ODDO BHF Generation,CR-EUR,FR0010574434,11,"Germany, Belgium, Spain, Italy, Luxembourg, The Netherlands, Portugal, Sweden, Switzerland, Finland, Norway (fund)"
FRENCH FUNDS,ODDO BHF Generation,CI-EUR,FR0010576728,11,"Germany, Belgium, Spain, Italy, Luxembourg, The Netherlands, Portugal, Sweden, Switzerland, Finland, Norway (fund)"
FRENCH FUNDS,ODDO BHF Generation,DR-EUR,FR0010576736,10,"Germany, Spain, Italy, Luxembourg, The Netherlands, Portugal, Sweden, Switzerland, Finland, Norway (fund)"
FRENCH FUNDS,ODDO BHF Generation,GC-EUR,FR0011605542,10,"Germany, Spain, Italy, Luxembourg, The Netherlands, Portugal, Sweden, Switzerland, Finland, Norway (fund)"
FRENCH FUNDS,ODDO BHF Generation,CN-EUR,FR0012847150,10,"Germany, Spain, Italy, Luxembourg, The Netherlands, Portugal, Sweden, Switzerland, Finland, Norway (fund)"
FRENCH FUNDS,ODDO BHF Generation,uCRw-EUR,FR0013420809,11,"Germany, Belgium, Spain, Italy, Luxembourg, The Netherlands, Portugal, Sweden, Switzerland, Finland, Norway (fund)"
FRENCH FUNDS,ODDO BHF Generation,uCRw-CHF [H],FR0013420817,10,"Germany, Spain, Italy, Luxembourg, The Netherlands, Portugal, Sweden, Switzerland, Finland, Norway (fund)"
FRENCH FUNDS,ODDO BHF Generation,uDRw-EUR,FR0013420825,11,"Germany, Belgium, Spain, Italy, Luxembourg, The Netherlands, Portugal, Sweden, Switzerland, Finland, Norway (fund)"
FRENCH FUNDS,ODDO BHF Generation,uDRw-CHF [H],FR0013420833,10,"Germany, Spain, Italy, Luxembourg, The Netherlands, Portugal, Sweden, Switzerland, Finland, Norway (fund)"
FRENCH FUNDS,ODDO BHF Generation,uCPw-EUR,FR0013420841,11,"Germany, Belgium, Spain, Italy, Luxembourg, The Netherlands, Portugal, Sweden, Switzerland, Finland, Norway (fund)"
